timestamp,index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
146663.960698,0,0.32243117108480457,0.3397668661021968,0.8894343436993217,146663.960698-0,-6.928853221191005,-9.347969268760531,22.920588211518577,19.630356007302623,15.220214693681362,-21.261350856697284,-0.46509072283717173,-0.4302249490783047,0.7736905794446298,,,,,,
146663.960829,0,0.24644157270824094,0.2390874252906682,0.922068450354449,146663.960829-1,-11.681212550988928,-10.810930406149287,22.477801452824792,,,,,,,-40.01145378093248,14.969169574672458,-19.87565029216136,0.4961040917457019,-0.4514473767551622,0.7416710835498816
146663.969031,0,0.26327569470010076,0.38544550971793773,0.9522525325199367,146663.969031-0,-5.190112450566907,-10.910348757451551,23.035025938036704,19.630356007302623,15.220214693681362,-21.261350856697284,-0.43464282076001004,-0.4575845063410903,0.7756945519457786,,,,,,
146663.969162,0,0.2766941759289092,0.2391610647483101,0.9241772174411981,146663.969162-1,-11.672736189397611,-10.857545027260997,22.443717567251895,,,,,,,-40.01145378093248,14.969169574672458,-19.87565029216136,0.496252525274186,-0.4522636671665637,0.7410742247036027
146663.977364,1,0.2992765728763131,0.38066740171162994,0.9468208017199296,146663.977364-0,-5.372406060371784,-10.768856737453623,23.015743142541794,19.630356007302623,15.220214693681362,-21.261350856697284,-0.4378350493396844,-0.45510677346544703,0.775356881903802,,,,,,
146663.977495,1,0.2134970922918599,0.2429524036227772,0.9505490915700071,146663.977495-1,-11.3717000579236,-11.36192030098142,21.927091370658637,,,,,,,-40.01145378093248,14.969169574672458,-19.87565029216136,0.501524109634354,-0.46109601825871,0.7320273419766729
146663.985697,1,0.3185105814969215,0.37979932077317197,0.9464967711627364,146663.985697-0,-5.40516899368227,-10.757851862204582,23.003686631436032,19.630356007302623,15.220214693681362,-21.261350856697284,-0.438408776373669,-0.454914061952831,0.7751457547043124,,,,,,
146663.985828,1,0.26888844834918896,0.242404805190018,0.9486173393925902,146663.985828-1,-11.411973355506362,-11.33252781996502,21.973142180733454,,,,,,,-40.01145378093248,14.969169574672458,-19.87565029216136,0.50081886510231,-0.46058131278972225,0.7328337592295614
146663.994029,1,0.29266802724768315,0.37892929659122776,0.9461719435691698,146663.994029-0,-5.437988381668966,-10.746835627463078,22.991574527935725,19.630356007302623,15.220214693681362,-21.261350856697284,-0.4389834920118677,-0.4547211515188345,0.7749336540004257,,,,,,
146663.994161,1,0.2229457825920907,0.24219406419611186,0.9488843766538297,146663.994161-1,-11.426200016815176,-11.344332110390583,21.97544161944868,,,,,,,-40.01145378093248,14.969169574672458,-19.87565029216136,0.5005697353885918,-0.46078802323502854,0.7328740257753377
